PC1,PC2,PC3,PC4,PC5,PC6,confID,year,playoff,tmID
-4.123694012612651,0.04836097717855188,-1.908955002513013,0.19897851740696723,1.3781854236904476,0.3229862409253911,0,2,1,CHA
1.7027630282518391,0.4681807948999536,-0.5051112626178126,-1.726543296726027,-1.0484207644629229,0.5579919510266917,0,2,1,CLE
-2.371085825287702,-0.23682144130545318,1.5933482195071251,-0.7583232561916031,-0.01395480357953034,-0.983103390866362,0,2,0,DET
6.003769511951389,-2.5517322257251958,0.1229327579412583,-0.6108658002086862,1.2641402082894426,-0.5060826849424654,1,2,1,HOU
-3.3326775083158515,-1.782169833349368,0.7033949538121148,-0.4642506283283525,1.1312583210633673,-0.49744467379245205,0,2,0,IND
4.564480027921092,-1.0022469472864113,0.5546241565782288,0.38322020576853416,-1.8247395537677447,-0.09243626784835199,1,2,1,LAS
-2.2161637796786606,-0.6534837813811621,-1.1252222987933356,0.008778595961663497,-0.17820384988409882,-0.6734872107286155,0,2,1,MIA
-2.43411547428647,0.2576492779090276,-0.19472768688086992,-1.8691292739032535,-0.33800519608362645,-0.14409420819366278,1,2,0,MIN
3.633736394876473,-1.6124968004457423,-0.9928602858454864,-1.214403199679592,0.9099101605405033,-0.24115612706579692,0,2,1,NYL
0.0506227715355915,-1.4408705085312843,-1.2618768686852457,-1.1795578183244677,-0.6541591892937155,0.07868849385571475,0,2,0,ORL
-0.15440707258602016,-3.0610097235217943,1.495111951194853,-0.5017693567318557,-0.4125446509660511,-1.7139864747615232,1,2,0,PHO
-3.7149313963035864,1.2963964487495367,-0.8511131062378616,-0.7265486505528981,0.22510595875840256,-0.1140667570384975,1,2,0,POR
1.6714826995398853,-1.0857350075191043,0.10332521650457298,2.1412334045600985,-1.6384381075791326,0.6738642935002346,1,2,1,SAC
-4.945875773838515,0.9056505778956202,-2.0253051979751895,-0.4579774657101705,1.2558548610107794,-0.2027030149394154,1,2,0,SEA
-1.176590333831956,-1.4490318533617326,3.0840227684896697,1.0387108370450566,-0.5945243206578931,3.3277035060430986,1,2,1,UTA
-1.1395183458157474,-2.9600780030419416,0.6696788621603449,-0.5374685276783941,0.5628354208345124,-0.7599366008779943,0,2,0,WAS
2.7665414684970986,-0.25957795382087573,-1.65737657859331,-0.20831679372251366,0.8117218126893841,0.35331977456141794,0,3,1,CHA
2.3976229686578736,-2.0990024788512933,-0.5198800658696131,-0.029849399091683475,-1.6471394922056832,-0.5346065809650696,0,3,0,CLE
-3.790251713805946,-2.0667222996931742,2.171555146530781,-0.17355624136229503,1.0261150143276851,2.5732042860896316,0,3,0,DET
1.0717856625967996,-1.5280260679885895,-1.4752840902327828,1.5462185972998006,-0.3251155557872238,-0.034018338398747294,1,3,1,HOU
-3.167241604364978,-0.33703406833729915,-1.7184515576247459,0.21655896559772403,0.5953732313356014,-0.1079217124284753,0,3,1,IND
7.502494550221833,-0.14199814551544046,0.8457160324135442,1.5284584851594973,2.6941199161968976,0.011687537714993054,1,3,1,LAS
1.6461291474309399,-1.5345789599097723,-0.674284628528342,-0.5590793564402544,-0.7821190865461668,-0.11553909588238019,0,3,0,MIA
-2.7184525122751038,-0.17510075200909195,-0.32756870081313105,0.23867862502999318,0.2342235025735006,1.7375850664118415,1,3,0,MIN
3.1509878693421927,-1.356838774791443,-1.0171558443833812,0.506549680378102,-0.2877617232602202,-0.43599432210598443,0,3,1,NYL
-2.2471260232742805,-0.38229953531126726,1.2784945742767415,0.3479047938265939,-0.17993041009073252,-0.8187318014088665,0,3,0,ORL
-2.4236497105638426,0.22118168449648135,-0.15998019825290188,0.43577492800958506,-0.5493018037718378,1.5978000639354255,1,3,0,PHO
